month day hour Development
12 11 7.458 0
12 11 7.542 0
12 11 7.625 0
12 11 7.708 0
12 11 7.792 0
12 11 7.875 0
12 11 7.958 0
12 11 8.042 0
12 11 8.125 0
12 11 8.208 0
12 11 8.292 0
12 11 8.375 0
12 11 8.458 0
12 11 8.542 0
12 11 8.625 0
12 11 8.708 0
12 11 8.792 1
12 11 8.875 1
12 11 8.958 1
12 11 9.042 1
12 11 9.125 0
12 11 9.208 1
12 11 9.292 1
12 11 9.375 0
12 11 9.458 0
12 11 9.542 0
12 11 9.625 1
12 11 9.708 1
12 11 9.792 1
12 11 9.875 1
12 11 9.958 0
12 11 10.042 0
12 11 10.125 0
12 11 10.208 0
12 11 10.292 0
12 11 10.375 0
12 11 10.458 0
12 11 10.542 1
12 11 10.625 1
12 11 10.708 1
12 11 10.792 1
12 11 10.875 1
12 11 10.958 1
12 11 11.042 1
12 11 11.125 1
12 11 11.208 1
12 11 11.292 1
12 11 11.375 1
12 11 11.458 1
12 11 11.542 1
12 11 11.625 0
12 11 11.708 0
12 11 11.792 1
12 11 11.875 1
12 11 11.958 1
12 11 12.042 1
12 11 12.125 1
12 11 12.208 0
12 11 12.292 1
12 11 12.375 1
12 11 12.458 0
12 11 12.542 0
12 11 12.625 0
12 11 12.708 0
12 11 12.792 1
12 11 12.875 1
12 11 12.958 1
12 11 13.042 1
12 11 13.125 1
12 11 13.208 1
12 11 13.292 1
12 11 13.375 1
12 11 13.458 1
12 11 13.542 1
12 11 13.625 1
12 11 13.708 1
12 11 13.792 1
12 11 13.875 1
12 11 13.958 1
12 11 14.042 1
12 11 14.125 1
12 11 14.208 1
12 11 14.292 1
12 11 14.375 1
12 11 14.458 1
12 11 14.542 1
12 11 14.625 1
12 11 14.708 1
12 11 14.792 1
12 11 14.875 1
12 11 14.958 1
12 11 15.042 0
12 11 15.125 1
12 11 15.208 1
12 11 15.292 1
12 11 15.375 1
12 11 15.458 1
12 11 15.542 0
12 11 15.625 0
12 11 15.708 1
12 11 15.792 1
12 11 15.875 1
12 11 15.958 1
12 11 16.042 0
12 11 16.125 0
12 11 16.208 1
12 11 16.292 1
12 11 16.375 1
12 11 16.458 1
12 11 16.542 1
12 11 16.625 1
12 11 16.708 1
12 11 16.792 1
12 11 16.875 1
12 11 16.958 1
12 11 17.042 1
12 11 17.125 1
12 11 17.208 1
12 11 17.292 1
12 11 17.375 1
12 11 17.458 1
12 11 17.542 1
12 11 17.625 1
12 11 17.708 0
12 11 17.792 1
12 11 17.875 1
12 11 17.958 1
12 11 18.042 1
12 11 18.125 1
12 11 18.208 0
12 11 18.292 0
12 11 18.375 0
12 11 18.458 0
12 11 18.542 0
12 11 18.625 0
12 11 18.708 0
12 11 18.792 0
12 11 18.875 0
12 11 18.958 0
12 11 19.042 0
12 11 19.125 0
12 11 19.208 0
12 11 19.292 0
12 11 19.375 0
12 11 19.458 0
12 11 19.542 0
12 11 19.625 0
12 11 19.708 0
12 11 19.792 0
12 11 19.875 0
12 11 19.958 0
12 11 20.042 0
12 11 20.125 0
12 11 20.208 0
12 11 20.292 0
12 11 20.375 0
12 11 20.458 0
12 11 20.542 0
12 11 20.625 0
12 11 20.708 0
12 11 20.792 0
12 11 20.875 0
12 11 20.958 0
12 11 21.042 0
12 11 21.125 0
12 11 21.208 0
12 11 21.292 0
12 11 21.375 0
12 11 21.458 0
12 11 21.542 0
12 11 21.625 0
12 11 21.708 0
12 11 21.792 0
12 11 21.875 0
12 11 21.958 0
12 11 22.042 0
12 11 22.125 0
12 11 22.208 0
12 11 22.292 0
12 11 22.375 0
12 11 22.458 0
12 11 22.542 0
12 11 22.625 0
12 11 22.708 0
12 11 22.792 0
12 11 22.875 0
12 11 22.958 0
12 11 23.042 0
12 11 23.125 0
12 11 23.208 0
12 11 23.292 0
12 11 23.375 0
12 11 23.458 0
12 11 23.542 0
12 11 23.625 0
12 11 23.708 0
12 11 23.792 0
12 11 23.875 0
12 11 23.958 0
12 12 0.042 0
12 12 0.125 0
12 12 0.208 0
12 12 0.292 0
12 12 0.375 0
12 12 0.458 0
12 12 0.542 0
12 12 0.625 0
12 12 0.708 0
12 12 0.792 0
12 12 0.875 0
12 12 0.958 0
12 12 1.042 0
12 12 1.125 0
12 12 1.208 0
12 12 1.292 0
12 12 1.375 0
12 12 1.458 0
12 12 1.542 0
12 12 1.625 0
12 12 1.708 0
12 12 1.792 0
12 12 1.875 0
12 12 1.958 0
12 12 2.042 0
12 12 2.125 0
12 12 2.208 0
12 12 2.292 0
12 12 2.375 0
12 12 2.458 0
12 12 2.542 0
12 12 2.625 0
12 12 2.708 0
12 12 2.792 0
12 12 2.875 0
12 12 2.958 0
12 12 3.042 0
12 12 3.125 0
12 12 3.208 0
12 12 3.292 0
12 12 3.375 0
12 12 3.458 0
12 12 3.542 0
12 12 3.625 0
12 12 3.708 0
12 12 3.792 0
12 12 3.875 0
12 12 3.958 0
12 12 4.042 0
12 12 4.125 0
12 12 4.208 0
12 12 4.292 0
12 12 4.375 0
12 12 4.458 0
12 12 4.542 0
12 12 4.625 0
12 12 4.708 0
12 12 4.792 0
12 12 4.875 0
12 12 4.958 0
12 12 5.042 0
12 12 5.125 0
12 12 5.208 0
12 12 5.292 0
12 12 5.375 0
12 12 5.458 0
12 12 5.542 0
12 12 5.625 0
12 12 5.708 0
12 12 5.792 0
12 12 5.875 0
12 12 5.958 0
12 12 6.042 0
12 12 6.125 0
12 12 6.208 0
12 12 6.292 0
12 12 6.375 0
12 12 6.458 0
12 12 6.542 0
12 12 6.625 0
12 12 6.708 0
12 12 6.792 0
12 12 6.875 0
12 12 6.958 0
12 12 7.042 0
12 12 7.125 0
12 12 7.208 0
12 12 7.292 0
12 12 7.375 0
12 12 7.458 0
12 12 7.542 0
12 12 7.625 0
12 12 7.708 0
12 12 7.792 0
12 12 7.875 0
12 12 7.958 0
12 12 8.042 0
12 12 8.125 0
12 12 8.208 0
12 12 8.292 0
12 12 8.375 0
12 12 8.458 0
12 12 8.542 0
12 12 8.625 0
12 12 8.708 1
12 12 8.792 0
12 12 8.875 1
12 12 8.958 0
12 12 9.042 1
12 12 9.125 1
12 12 9.208 0
12 12 9.292 1
12 12 9.375 1
12 12 9.458 1
12 12 9.542 1
12 12 9.625 1
12 12 9.708 1
12 12 9.792 1
12 12 9.875 1
12 12 9.958 1
12 12 10.042 1
12 12 10.125 1
12 12 10.208 1
12 12 10.292 0
12 12 10.375 1
12 12 10.458 0
12 12 10.542 1
12 12 10.625 1
12 12 10.708 1
12 12 10.792 1
12 12 10.875 1
12 12 10.958 0
12 12 11.042 0
12 12 11.125 1
12 12 11.208 1
12 12 11.292 1
12 12 11.375 1
12 12 11.458 1
12 12 11.542 1
12 12 11.625 1
12 12 11.708 1
12 12 11.792 1
12 12 11.875 1
12 12 11.958 1
12 12 12.042 1
12 12 12.125 0
12 12 12.208 0
12 12 12.292 0
12 12 12.375 0
12 12 12.458 0
12 12 12.542 1
12 12 12.625 0
12 12 12.708 1
12 12 12.792 0
12 12 12.875 1
12 12 12.958 1
12 12 13.042 1
12 12 13.125 1
12 12 13.208 1
12 12 13.292 0
12 12 13.375 0
12 12 13.458 1
12 12 13.542 1
12 12 13.625 1
12 12 13.708 1
12 12 13.792 1
12 12 13.875 1
12 12 13.958 1
12 12 14.042 1
12 12 14.125 1
12 12 14.208 1
12 12 14.292 1
12 12 14.375 1
12 12 14.458 1
12 12 14.542 1
12 12 14.625 1
12 12 14.708 1
12 12 14.792 1
12 12 14.875 1
12 12 14.958 1
12 12 15.042 1
12 12 15.125 1
12 12 15.208 1
12 12 15.292 1
12 12 15.375 1
12 12 15.458 1
12 12 15.542 1
12 12 15.625 0
12 12 15.708 1
12 12 15.792 1
12 12 15.875 1
12 12 15.958 1
12 12 16.042 1
12 12 16.125 1
12 12 16.208 1
12 12 16.292 1
12 12 16.375 1
12 12 16.458 1
12 12 16.542 1
12 12 16.625 1
12 12 16.708 1
12 12 16.792 1
12 12 16.875 1
12 12 16.958 1
12 12 17.042 1
12 12 17.125 1
12 12 17.208 1
12 12 17.292 1
12 12 17.375 1
12 12 17.458 1
12 12 17.542 1
12 12 17.625 1
12 12 17.708 1
12 12 17.792 1
12 12 17.875 1
12 12 17.958 1
12 12 18.042 1
12 12 18.125 1
12 12 18.208 1
12 12 18.292 1
12 12 18.375 1
12 12 18.458 1
12 12 18.542 1
12 12 18.625 1
12 12 18.708 1
12 12 18.792 1
12 12 18.875 0
12 12 18.958 0
12 12 19.042 0
12 12 19.125 0
12 12 19.208 1
12 12 19.292 1
12 12 19.375 1
12 12 19.458 1
12 12 19.542 1
12 12 19.625 0
12 12 19.708 1
12 12 19.792 1
12 12 19.875 1
12 12 19.958 0
12 12 20.042 0
12 12 20.125 0
12 12 20.208 0
12 12 20.292 0
12 12 20.375 0
12 12 20.458 0
12 12 20.542 0
12 12 20.625 0
12 12 20.708 0
12 12 20.792 0
12 12 20.875 0
12 12 20.958 0
12 12 21.042 0
12 12 21.125 0
12 12 21.208 0
12 12 21.292 0
12 12 21.375 0
12 12 21.458 0
12 12 21.542 0
12 12 21.625 0
12 12 21.708 0
12 12 21.792 0
12 12 21.875 0
12 12 21.958 0
12 12 22.042 0
12 12 22.125 0
12 12 22.208 0
12 12 22.292 0
12 12 22.375 0
12 12 22.458 0
12 12 22.542 0
12 12 22.625 0
12 12 22.708 0
12 12 22.792 0
12 12 22.875 0
12 12 22.958 0
12 12 23.042 0
12 12 23.125 0
12 12 23.208 0
12 12 23.292 0
12 12 23.375 0
12 12 23.458 0
12 12 23.542 0
12 12 23.625 0
12 12 23.708 0
12 12 23.792 0
12 12 23.875 0
12 12 23.958 0
12 13 0.042 0
12 13 0.125 0
12 13 0.208 0
12 13 0.292 0
12 13 0.375 0
12 13 0.458 0
12 13 0.542 0
12 13 0.625 0
12 13 0.708 0
12 13 0.792 0
12 13 0.875 0
12 13 0.958 0
12 13 1.042 0
12 13 1.125 0
12 13 1.208 0
12 13 1.292 0
12 13 1.375 0
12 13 1.458 0
12 13 1.542 0
12 13 1.625 0
12 13 1.708 0
12 13 1.792 0
12 13 1.875 0
12 13 1.958 0
12 13 2.042 0
12 13 2.125 0
12 13 2.208 0
12 13 2.292 0
12 13 2.375 0
12 13 2.458 0
12 13 2.542 0
12 13 2.625 0
12 13 2.708 0
12 13 2.792 0
12 13 2.875 0
12 13 2.958 0
12 13 3.042 0
12 13 3.125 0
12 13 3.208 0
12 13 3.292 0
12 13 3.375 0
12 13 3.458 0
12 13 3.542 0
12 13 3.625 0
12 13 3.708 0
12 13 3.792 0
12 13 3.875 0
12 13 3.958 0
12 13 4.042 0
12 13 4.125 0
12 13 4.208 0
12 13 4.292 0
12 13 4.375 0
12 13 4.458 0
12 13 4.542 0
12 13 4.625 0
12 13 4.708 0
12 13 4.792 0
12 13 4.875 0
12 13 4.958 0
12 13 5.042 0
12 13 5.125 0
12 13 5.208 0
12 13 5.292 0
12 13 5.375 0
12 13 5.458 0
12 13 5.542 0
12 13 5.625 0
12 13 5.708 0
12 13 5.792 0
12 13 5.875 0
12 13 5.958 0
12 13 6.042 0
12 13 6.125 0
12 13 6.208 0
12 13 6.292 0
12 13 6.375 0
12 13 6.458 0
12 13 6.542 0
12 13 6.625 0
12 13 6.708 0
12 13 6.792 0
12 13 6.875 0
12 13 6.958 0
12 13 7.042 0
12 13 7.125 0
12 13 7.208 0
12 13 7.292 0
12 13 7.375 0
12 13 7.458 0
12 13 7.542 0
12 13 7.625 0
12 13 7.708 0
12 13 7.792 0
12 13 7.875 0
12 13 7.958 0
12 13 8.042 0
12 13 8.125 0
12 13 8.208 0
12 13 8.292 0
12 13 8.375 0
12 13 8.458 0
12 13 8.542 0
12 13 8.625 0
12 13 8.708 1
12 13 8.792 1
12 13 8.875 1
12 13 8.958 1
12 13 9.042 1
12 13 9.125 1
12 13 9.208 1
12 13 9.292 1
12 13 9.375 1
12 13 9.458 1
12 13 9.542 1
12 13 9.625 1
12 13 9.708 1
12 13 9.792 1
12 13 9.875 1
12 13 9.958 1
12 13 10.042 1
12 13 10.125 1
12 13 10.208 1
12 13 10.292 1
12 13 10.375 1
12 13 10.458 0
12 13 10.542 0
12 13 10.625 1
12 13 10.708 1
12 13 10.792 1
12 13 10.875 1
12 13 10.958 1
12 13 11.042 1
12 13 11.125 1
12 13 11.208 1
12 13 11.292 1
12 13 11.375 1
12 13 11.458 1
12 13 11.542 0
12 13 11.625 0
12 13 11.708 1
12 13 11.792 1
12 13 11.875 1
12 13 11.958 1
12 13 12.042 1
12 13 12.125 1
12 13 12.208 1
12 13 12.292 1
12 13 12.375 0
12 13 12.458 0
12 13 12.542 0
12 13 12.625 0
12 13 12.708 0
12 13 12.792 1
12 13 12.875 1
12 13 12.958 1
12 13 13.042 1
12 13 13.125 1
12 13 13.208 1
12 13 13.292 1
12 13 13.375 1
12 13 13.458 1
12 13 13.542 1
12 13 13.625 1
12 13 13.708 1
12 13 13.792 1
12 13 13.875 1
12 13 13.958 1
12 13 14.042 1
12 13 14.125 1
12 13 14.208 1
12 13 14.292 1
12 13 14.375 1
12 13 14.458 1
12 13 14.542 1
12 13 14.625 1
12 13 14.708 1
12 13 14.792 1
12 13 14.875 1
12 13 14.958 1
12 13 15.042 1
12 13 15.125 0
12 13 15.208 0
12 13 15.292 1
12 13 15.375 1
12 13 15.458 1
12 13 15.542 1
12 13 15.625 1
12 13 15.708 1
12 13 15.792 1
12 13 15.875 1
12 13 15.958 1
12 13 16.042 1
12 13 16.125 1
12 13 16.208 1
12 13 16.292 1
12 13 16.375 1
12 13 16.458 1
12 13 16.542 1
12 13 16.625 1
12 13 16.708 1
12 13 16.792 1
12 13 16.875 1
12 13 16.958 1
12 13 17.042 1
12 13 17.125 1
12 13 17.208 1
12 13 17.292 1
12 13 17.375 1
12 13 17.458 0
12 13 17.542 1
12 13 17.625 1
12 13 17.708 1
12 13 17.792 1
12 13 17.875 1
12 13 17.958 1
12 13 18.042 1
12 13 18.125 1
12 13 18.208 1
12 13 18.292 1
12 13 18.375 1
12 13 18.458 1
12 13 18.542 0
12 13 18.625 0
12 13 18.708 0
12 13 18.792 0
12 13 18.875 0
12 13 18.958 0
12 13 19.042 0
12 13 19.125 0
12 13 19.208 0
12 13 19.292 0
12 13 19.375 0
12 13 19.458 0
12 13 19.542 0
12 13 19.625 0
12 13 19.708 0
12 13 19.792 0
12 13 19.875 0
12 13 19.958 0
12 13 20.042 0
12 13 20.125 0
12 13 20.208 0
12 13 20.292 0
12 13 20.375 0
12 13 20.458 0
12 13 20.542 0
12 13 20.625 0
12 13 20.708 0
12 13 20.792 0
12 13 20.875 0
12 13 20.958 0
